policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.03128724995379647,0.030914823039590072,0.031643765680491924,60
random,4,0.06234187831481298,0.06175843984199067,0.06293039350925635,60
random,8,0.12492061778903008,0.12418226265658935,0.12561674172990026,60
random,12,0.1878375160197417,0.1869877312704921,0.18867989163845778,60
random,16,0.25014861250917114,0.24917510933553177,0.2510876724558572,60
training_popularity,2,0.16092584232489268,0.1578127341469129,0.16409286824986338,60
training_popularity,4,0.261782751729091,0.2548942276773353,0.2691207869475087,60
training_popularity,8,0.4022042840719223,0.3898313933362563,0.415195163389047,60
training_popularity,12,0.4979766259590785,0.48132120372106635,0.5153447450324893,60
training_popularity,16,0.5765008926391602,0.5589655474076669,0.5941275429353118,60
previous_layer_routes,2,0.031069059483706953,0.03054449831135571,0.03157501630485058,60
previous_layer_routes,4,0.060641974210739136,0.05974441078646729,0.06150422729396572,60
previous_layer_routes,8,0.12169700289765993,0.12020900711417198,0.12323984379259248,60
previous_layer_routes,12,0.3753686224420865,0.36802176972230277,0.3827783514931798,60
previous_layer_routes,16,0.5027666583657264,0.4894641331210733,0.5168797463551162,60
learned,2,0.24139921714862186,0.2402740633673966,0.2424867471617957,60
learned,4,0.46582227100928625,0.46253132936855157,0.4689719496294856,60
learned,8,0.7962894926468531,0.7883414836476247,0.8047159453481435,60
learned,12,0.9041153639554977,0.897223637253046,0.9107849042117595,60
learned,16,0.9439916491508484,0.9389280190318823,0.9486595899611711,60
oracle,2,0.25,0.25,0.25,60
oracle,4,0.5,0.5,0.5,60
oracle,8,1.0,1.0,1.0,60
oracle,12,1.0,1.0,1.0,60
oracle,16,1.0,1.0,1.0,60
