policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.031479391579826675,0.03069714147713967,0.032295083524271226,24
random,4,0.06267432340731223,0.06186887029325589,0.06350621846504509,24
random,8,0.1250150492414832,0.12370595620013773,0.12632524478249252,24
random,12,0.18720442491273084,0.18549628371062377,0.1888899698232611,24
random,16,0.25013967355092365,0.248330972250551,0.2518210564429561,24
training_popularity,2,0.16342485323548317,0.1578001805736373,0.16844975943677126,24
training_popularity,4,0.2674396677563588,0.2578928464713196,0.2764054499876996,24
training_popularity,8,0.4115159387389819,0.39095251491914196,0.4323170086368918,24
training_popularity,12,0.5115576547880968,0.4816325151982407,0.5421465695214768,24
training_popularity,16,0.5913829505443573,0.5606615785509348,0.6233857622370124,24
previous_layer_routes,2,0.030915849686910708,0.030053048029852408,0.03173361545389829,24
previous_layer_routes,4,0.06086181399102012,0.05984648959323143,0.06183998454750205,24
previous_layer_routes,8,0.12242817133665085,0.12032601439859718,0.12460835633488992,24
previous_layer_routes,12,0.3828689629832904,0.37223039676124847,0.3932653577066958,24
previous_layer_routes,16,0.513611190021038,0.4902791961717109,0.5366083706729114,24
learned,2,0.23663898495336375,0.23455435917712747,0.23869336646360656,24
learned,4,0.45178794115781784,0.44614905631169677,0.45702827277903757,24
learned,8,0.7623290568590164,0.7486247803394993,0.7770717061435183,24
learned,12,0.8738379354278246,0.8611334385971229,0.8857890851795673,24
learned,16,0.9203218643863996,0.9108166025330623,0.9295802745347221,24
oracle,2,0.25,0.25,0.25,24
oracle,4,0.5,0.5,0.5,24
oracle,8,1.0,1.0,1.0,24
oracle,12,1.0,1.0,1.0,24
oracle,16,1.0,1.0,1.0,24
