policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.031628112851952515,0.03111137372131149,0.03214410930716743,24
random,4,0.06235365988686681,0.061398029412763816,0.06332613946093868,24
random,8,0.12405767447004716,0.12286230461516728,0.12528566148442527,24
random,12,0.18676819962759814,0.18524778626548746,0.1882365147738407,24
random,16,0.24888122640550137,0.2471398649426798,0.250382959889248,24
training_popularity,2,0.16342485323548317,0.15790479170779387,0.1688725913874805,24
training_popularity,4,0.2674396677563588,0.25803718947184584,0.2765183383909365,24
training_popularity,8,0.4115159387389819,0.3903508274195095,0.43273703744634984,24
training_popularity,12,0.5115576547880968,0.4827985413993398,0.5416197533408801,24
training_popularity,16,0.5913829505443573,0.5614988351240754,0.6236694579323132,24
previous_layer_routes,2,0.030915849686910708,0.03006690586141,0.031740742632731175,24
previous_layer_routes,4,0.06086181399102012,0.05981200640865912,0.06187006262286255,24
previous_layer_routes,8,0.12242817133665085,0.12037491059551636,0.12446199271362275,24
previous_layer_routes,12,0.3828689629832904,0.3719936747414371,0.39321575332432984,24
previous_layer_routes,16,0.513611190021038,0.4914433484276136,0.5373916236373285,24
learned,2,0.2397835503021876,0.23801899895382425,0.2414321653234462,24
learned,4,0.45917653168241185,0.4543634308191637,0.46370901105304557,24
learned,8,0.7787445560097694,0.7667190217102567,0.7907901807998617,24
learned,12,0.8883336062232653,0.8781439065933228,0.8988460785398881,24
learned,16,0.9309306914607683,0.92342270296067,0.9385166466236113,24
oracle,2,0.25,0.25,0.25,24
oracle,4,0.5,0.5,0.5,24
oracle,8,1.0,1.0,1.0,24
oracle,12,1.0,1.0,1.0,24
oracle,16,1.0,1.0,1.0,24
